Header,Price,Artist,Dimensions,Specifications,Imgs
SQUARES ultra blue into lavendel - Triptychon,9730,Ernestine Faux,150 x 50 cm,2012 • Austria • Acrílico en Lienzo,"['https://www.singulart.com/images/artworks/pictures/cropped/992/2120/zoom/serie_2120_e4d7ee222aacc5970d1a412a9a5593c3.jpeg', 'https://www.singulart.com/images/artworks/pictures/cropped/992/2120/zoom/serie_2120_e4d7ee222aacc5970d1a412a9a5593c3.jpeg']"
I only have eyes for you,9910,Bernard Simunovic,68 x 87 cm,2023 • Alemania • Acrílico en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/1514/main/zoom/1843611_894f54fea64b2761994afc65e94fea3c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1514/alts/zoom/alt_1843611_26fa5635bc02fe818c7db9ae379e6553.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1514/alts/zoom/alt_1843611_fa5a37217a13e7c8539bfe05a24a1f34.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1514/alts/zoom/alt_1843611_6c557a37f0f77f91d14232523fc6cb1a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1514/alts/zoom/alt_1843611_9c505993863bef017d3d113344c5b3d6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1514/main/zoom/1843611_894f54fea64b2761994afc65e94fea3c.jpeg']"
Implosion V,7620,Wolfgang Eckert,36(L)x55(A)x33(P)cm,2020 • Alemania,"['https://www.singulart.com/images/artworks/v2/cutout/13139/main/zoom/803729_3f0d509de8fe8d480264cd0cc49ed290.png', 'https://www.singulart.com/images/artworks/v2/cropped/13139/alts/zoom/alt_803729_9f550c6f05e5cb18ac6fa08555697aab.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13139/alts/zoom/alt_803729_f6693f75d11eb9c4ac1736190ce2101e.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13139/alts/zoom/alt_803729_1e5a8d7bc31ed72e63c66817f4d47b32.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13139/alts/zoom/alt_803729_63f9d19d0025faf31d510335375d31d9.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/13139/main/zoom/803729_3f0d509de8fe8d480264cd0cc49ed290.png']"
Arlecchino,13450,Alessio Luzzi,100(L)x76(A)x200(P)cm,2014 • Italia,"['https://www.singulart.com/images/artworks/v2/cutout/5105/main/zoom/1643492_ba5c1f05c337bced9eb2db7d2895ade3.png', 'https://www.singulart.com/images/artworks/v2/cropped/5105/alts/zoom/alt_1643492_e5421f26f98df0f622988eb4c9f0daec.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/5105/alts/zoom/alt_1643492_e2ae852bd62c0a30894b54f790b17f47.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/5105/alts/zoom/alt_1643492_d7676e2d7a6728ee120196994096b9d3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/5105/alts/zoom/alt_1643492_6acf43c1c15c2b8ebe700e21f8cd9798.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/5105/alts/zoom/alt_1643492_19310c10966aa4531dd7e08b7a44a9de.png', 'https://www.singulart.com/images/artworks/v2/cropped/5105/alts/zoom/alt_1643492_21bdb8c5dd5a9c8b8d007253953103c3.png', 'https://www.singulart.com/images/artworks/v2/cropped/5105/alts/zoom/alt_1643492_134cea202f4f1849560a128db51e0f24.png', 'https://www.singulart.com/images/artworks/v2/cutout/5105/main/zoom/1643492_ba5c1f05c337bced9eb2db7d2895ade3.png']"
Un lieto fine per King Kong,9610,Daniele Nannini,50(L)x92(A)x45(P)cm,2020 • Italia,"['https://www.singulart.com/images/artworks/v2/cutout/34166/main/zoom/1894870_50a754cda2ca7a3008b9a598bab089c5.png', 'https://www.singulart.com/images/artworks/v2/cropped/34166/alts/zoom/alt_1894870_7930a12fb289d0e0c4fa29561c49a6f1.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/34166/alts/zoom/alt_1894870_4db5603f87e6d945ad700cf148ab7faf.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/34166/alts/zoom/alt_1894870_227d4ba07f3da76fbd47a9ac213f3e3d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/34166/alts/zoom/alt_1894870_bfe2eda81701bd885b18cec66e9db007.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/34166/alts/zoom/alt_1894870_aa10dc07b1535e46f99201295f3587e3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/34166/alts/zoom/alt_1894870_ed6c3073fc111c7581edf93af9812863.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/34166/alts/zoom/alt_1894870_318e43aa38db34c0b666a14672ddbd18.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/34166/alts/zoom/alt_1894870_e28f552e12f795df122213ac3ce37132.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/34166/main/zoom/1894870_50a754cda2ca7a3008b9a598bab089c5.png']"
Lithographie No 31,20240,Pierre Soulages,88 x 62 cm,1974 • Francia,"['https://www.singulart.com/images/artworks/v2/cropped/36534/main/zoom/2178672_27197928c5f50179983a72b28a27e7ff.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/36534/alts/zoom/alt_2178672_b707fe2ee16e991182c057b2b27d3eb4.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/36534/alts/zoom/alt_2178672_364ec8a900f15038f35bacaedd0f973b.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/36534/alts/zoom/alt_2178672_85ed905fa383c35fa61eadd46157e287.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/36534/alts/zoom/alt_2178672_5cda265eff5270fb8e633c774fbafc79.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/36534/main/zoom/2178672_27197928c5f50179983a72b28a27e7ff.jpeg']"
Chica en casa,9500,Sabina Bockemühl,100 x 80 cm,2021 • Alemania • Acrílico en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/14543/main/zoom/1232525_a1beee51496776deb9d0a7dd69c469c6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14543/alts/zoom/alt_1232525_4e066e6efdc18d0f619b5fd7bb63496d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14543/alts/zoom/alt_1232525_739b1687fb10915b8da31d28139ffaf8.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14543/alts/zoom/alt_1232525_62e899ddea7a15cee05ff6f510b3c15e.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14543/alts/zoom/alt_1232525_003648fb01f6ce27a3ce584bc06750bc.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14543/alts/zoom/alt_1232525_0f1613f7cafca6e49e865301cc0829f3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14543/alts/zoom/alt_1232525_c9a10a7cc9f45905003876ba215f8c6b.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14543/alts/zoom/alt_1232525_f92e57c4f36084cafb3bc838d79387cb.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14543/alts/zoom/alt_1232525_785bf8e295307c6534eb21bff27ef505.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14543/alts/zoom/alt_1232525_95209743b6a2f27beadc171ec21f180e.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14543/alts/zoom/alt_1232525_5626cfab530cccc514c0643f32550ad2.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14543/alts/zoom/alt_1232525_6c8b1a5adc0cf99a01827a6746286b03.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/14543/main/zoom/1232525_a1beee51496776deb9d0a7dd69c469c6.jpeg']"
Eglantine,8470,Christine Barres,130 x 97 cm,"2023 • Francia • Acrílico, Pigmento en Lienzo","['https://www.singulart.com/images/artworks/v2/cropped/3635/main/zoom/1883124_ba9f3acc0484a0f207d11158dc27aa19.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3635/main/zoom/1883124_ba9f3acc0484a0f207d11158dc27aa19.jpeg']"
Vaso de Girasoles,5390,Ionut Buruian,100 x 81 cm,N.D • Rumanía • Óleo en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/66836/main/zoom/2237430_d1c654b04ae8bd41130358b7c3d80df0.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/66836/main/zoom/2237430_d1c654b04ae8bd41130358b7c3d80df0.jpeg']"
L'assassinat de Trotsky,25830,Francis Bacon,90 x 63 cm,"1987 • Reino Unido • Grabado en Plexiglás , Otro tipo de marco rígido under glass","['https://www.singulart.com/images/artworks/v2/cropped/49832/main/zoom/2013435_9dd8e5bffe451eb6e94b3745c682c246.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/49832/alts/alt_2013435_1eb87160638101718b833a63092777c5.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/49832/alts/alt_2013435_c1598f00752e2ba7b1c2529b829deca7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/49832/main/zoom/2013435_9dd8e5bffe451eb6e94b3745c682c246.jpeg']"
I was the King of the Meadows,15630,Grégory Herpe,80 x 53 cm,2020 • Francia • Digital en Papel,"['https://www.singulart.com/images/artworks/v2/cropped/476/main/zoom/1240095_8e1c971dc9c510deb5f51b4f3ca3006d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/476/alts/zoom/alt_1240095_2c732b540f2fdb1eed3f0b73d74ea661.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/476/alts/zoom/alt_1240095_b222f44f5871c8b195eb3319cc204a8e.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/476/alts/zoom/alt_1240095_a07dc12eb9d45c6c81228f2033ead649.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/476/alts/zoom/alt_1240095_2a58645b4e192e58f1f5c961e6af4382.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/476/main/zoom/1240095_8e1c971dc9c510deb5f51b4f3ca3006d.jpeg']"
Original of THE FUN FOR TWO from San Francisco ART FAIR 2024 Photograph,84270,Evgeny Maklakov,115 x 85 cm,"2024 • España • Análogo en Plexiglás , Madera","['https://www.singulart.com/images/artworks/v2/cropped/59302/main/zoom/2048888_b5c3f3b75c827db583e0cc7b00dd34b7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59302/alts/zoom/alt_2048888_f01c22dd952e903deac4bb906531da9e.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59302/alts/zoom/alt_2048888_2ccad3f9a4c5f60ea8a66746ecfa79f7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59302/alts/zoom/alt_2048888_8568dcd5f7ebcc5fa430f0a44f3ff362.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59302/alts/zoom/alt_2048888_3bb210170577e5e0ba0e5957d84cd061.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59302/alts/zoom/alt_2048888_4a849cc69d446c97b32d9e6fa2c5a4da.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59302/alts/zoom/alt_2048888_9404798f46e9b939f7ece37225f829cd.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59302/alts/zoom/alt_2048888_d8afefc5a3f44fb375c2136d55a4376a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59302/main/zoom/2048888_b5c3f3b75c827db583e0cc7b00dd34b7.jpeg']"
Rose Garden,7520,Diana Malivani,60 x 120 cm,2024 • Chipre • Óleo en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/7045/main/zoom/2185257_4b5888e7052e2c5efb350836c28122d6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_f3f7b6ae42e56532acd250680a0a1109.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_29f9b0a542ad4a3c76cb4633cb096999.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_7198ed48b5bf58c3479686e7b320b17d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_96e8b53339c0ff720fb4f0c5468de135.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_b9747b30b5ade00cfab88a9ed938d3bb.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_8aaaf87c2f25e7e4f4b5990d9474f946.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_acda17df64de29fb53e76e47633b5a79.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_2a5130db83cdbe95797e3ca6d25466cd.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_d56391352dbe699ade6d1a275061864b.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_e2c6781c6c4e3ddbefe2f3d387b469a3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_6f34a6f078af5c4a3fb34576b4063bf9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_6f2b987e7cd659ba07a205140a8c19ce.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_01a72c8d947c311e716fa1f8760f535a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_5c8ca212292f92ea83d795247627bf7f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_53574fe838b8970d90a0b90cdbd2a4be.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_7bb0e95d93c83924095800741c495940.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_912d655d3f8e6f09aaea20ac845a62de.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_cd191ff244a1f13104284bbbb33ed604.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_491589595644f6ec1eab35e0a66be8b8.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_1cfd3b49c990a83a4c27ac8da8d5af87.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_ce5a771acd471b3908d1184377216410.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_2480785254adeb15b08fd730810c5f60.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_3e776ac2e729a08455463b3ea2b36e38.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_e63b9624e484b7e135e8c9d152f9de55.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_b5b42a8eec309cfb2ea42e8bcfb279a7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_533b288c5a3d72d8b8749e79881bd643.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_3844c4864ec63bce7e1b650310c02c52.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_4246f799fbb6a2bff6bc247e0f33d06c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_e2621e3e99bbaed861879300b147c554.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/alts/zoom/alt_2185257_d3d725bf7cb2af05d13b7881a9c4f9a0.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/7045/main/zoom/2185257_4b5888e7052e2c5efb350836c28122d6.jpeg']"
Ostsee,9510,Petra Erengil,100 x 100 cm,2023 • Alemania • Óleo en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/59293/main/zoom/2048045_ce03a1c593809dd8adc8e434db6783b2.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59293/alts/zoom/alt_2048045_f6cf29263e2c8762f87f3816fe9b5855.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59293/main/zoom/2048045_ce03a1c593809dd8adc8e434db6783b2.jpeg']"
Seven Phases (BTS),9420,James Jean,66 x 50 cm,2025 • China,"['https://www.singulart.com/images/artworks/v2/cropped/42822/main/zoom/2276384_a2b93bf8533a95474bfeda9978a3b632.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/42822/alts/zoom/alt_2276384_a8ff7fa8add04f05f9cb8add1fa91ed2.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/42822/alts/zoom/alt_2276384_fd90d5e7505cdfea2d4ba26291244e1c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/42822/alts/zoom/alt_2276384_5ca5ba31b44400981a8d3d93ba5ce7f0.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/42822/alts/zoom/alt_2276384_60309c6ac95c9b401491021014166e83.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/42822/alts/zoom/alt_2276384_67553319a939c7fbb9f4cb3a79f8535e.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/42822/alts/zoom/alt_2276384_ca0a8ad3d73c883f4815eff293ce46ed.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/42822/alts/zoom/alt_2276384_8b2ba7eae3ef84b6c670743f65096132.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/42822/alts/zoom/alt_2276384_0f39dc9429d432cea11e6e752c0899e0.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/42822/main/zoom/2276384_a2b93bf8533a95474bfeda9978a3b632.jpeg']"
Paranoia,8470,Giovanni Giunta,120 x 100 cm,"2024 • Italia • Lápiz, Graffiti en Lienzo","['https://www.singulart.com/images/artworks/v2/cropped/62803/main/zoom/2131096_3daac75ed04c75759a3852afb7980627.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62803/alts/zoom/alt_2131096_4631e205589aca87579c4d876ca5e9b7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62803/alts/zoom/alt_2131096_e63d991339cc01bc2b66bc707c008cde.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62803/alts/zoom/alt_2131096_44a8115e757f942b4df86c0656b72753.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62803/alts/zoom/alt_2131096_3c0c7990b79d79698d188c1ba9530819.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62803/alts/zoom/alt_2131096_579f6cd80c1fc223407aa47d1c897d04.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62803/alts/zoom/alt_2131096_1bb00da67d6c90bd1b9967f803242faa.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62803/alts/zoom/alt_2131096_203f8198ee499580f0ab3b78fe920ec2.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62803/main/zoom/2131096_3daac75ed04c75759a3852afb7980627.jpeg']"
Mitologie Bété. La legende de Goragnonkado le méchant,8200,Frédéric Bruly Bouabré,80 x 82 cm,"2008 • Côte d’Ivoire • Lápiz de color, Grafito en Cartón","['https://www.singulart.com/images/artworks/v2/cropped/65215/main/zoom/2233070_07a53e68e5088827cf76125d40bc5213.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/65215/alts/alt_2233070_e4d35dbbd410743e3d91b0486b7683c9.png', 'https://www.singulart.com/images/artworks/v2/cropped/65215/alts/alt_2233070_e9def9565be792d64bb7dc67056f2625.png', 'https://www.singulart.com/images/artworks/v2/cropped/65215/main/zoom/2233070_07a53e68e5088827cf76125d40bc5213.jpeg']"
El Éxtasis de Santa Teresa,9970,Leon Ferrero,39(L)x63(A)x24(P)cm,2023 • España,"['https://www.singulart.com/images/artworks/v2/cutout/59236/main/zoom/2036384_d856dfeba6f550108f24d212912dee8e.png', 'https://www.singulart.com/images/artworks/v2/cropped/59236/alts/zoom/alt_2036384_bcbfd55a84114a290364787ee293b99b.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59236/alts/zoom/alt_2036384_eabed1f2d0e0006c378e21f6150b999d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59236/alts/zoom/alt_2036384_391189a4e3dd8b4d880d9b89f321c8f6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59236/alts/zoom/alt_2036384_74ffd71a2da18774b5d4a13d848750f6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59236/alts/zoom/alt_2036384_13cf0f44459b0900e80a3c403ea8a4ba.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59236/alts/zoom/alt_2036384_83ca93d38fabd4082e3a2977f2e7f38d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59236/alts/zoom/alt_2036384_eabed1f2d0e0006c378e21f6150b999d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59236/alts/zoom/alt_2036384_bcbfd55a84114a290364787ee293b99b.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59236/alts/zoom/alt_2036384_74ffd71a2da18774b5d4a13d848750f6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59236/alts/zoom/alt_2036384_391189a4e3dd8b4d880d9b89f321c8f6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59236/alts/zoom/alt_2036384_13cf0f44459b0900e80a3c403ea8a4ba.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/59236/main/zoom/2036384_d856dfeba6f550108f24d212912dee8e.png']"
Bis-corps-nus ré-assemblés,13260,Sof - Sophie Voigt-Chadeyron,180(L)x205(A)x60(P)cm,2020 • Alemania,"['https://www.singulart.com/images/artworks/v2/cutout/26981/main/zoom/1106797_3fada05d2e4cd725d6a2ef487558cb6c.png', 'https://www.singulart.com/images/artworks/v2/cropped/26981/alts/zoom/alt_1106797_5252b8cb31ad3cb5f820a760cef75372.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/26981/alts/zoom/alt_1106797_9f158c87427f71cebb0989d41c321fc0.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/26981/alts/zoom/alt_1106797_e47a288a7e34ac9cb73e71a315a2c9ee.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/26981/alts/zoom/alt_1106797_7e351a1977611ce472dce2ba8cad653f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/26981/alts/zoom/alt_1106797_74df8057ac2fd179ed417d7aa2ccd125.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/26981/alts/zoom/alt_1106797_9ff38646ed55bb78c42a3da0b1639474.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/26981/alts/zoom/alt_1106797_cd6f6e00a959f8d35343b2eaeccadd4e.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/26981/alts/zoom/alt_1106797_9f158c87427f71cebb0989d41c321fc0.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/26981/main/zoom/1106797_3fada05d2e4cd725d6a2ef487558cb6c.png']"
A form driven from a rectangular solid (juventudes musicales portfolio),13820,Sol LeWitt,75 x 55 cm,"1992 • Estados Unidos • Litografía en Papel , Otro tipo de marco rígido under glass","['https://www.singulart.com/images/artworks/v2/cropped/49832/main/zoom/2058221_d603b8626fb9add88e6dc7602786d508.png', 'https://www.singulart.com/images/artworks/v2/cropped/49832/alts/alt_2058221_2836789b9405a60d14cd754dc8b3cfee.png', 'https://www.singulart.com/images/artworks/v2/cropped/49832/alts/alt_2058221_9c53af3b28433f794fa126247354406b.png', 'https://www.singulart.com/images/artworks/v2/cropped/49832/main/zoom/2058221_d603b8626fb9add88e6dc7602786d508.png']"
Symphony,7640,Stanton Schmid,102 x 76 cm,2024 • Estados Unidos • Acrílico en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/69478/main/zoom/2310615_5ca18d415298398fe0975b62a674af21.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/69478/main/zoom/2310615_5ca18d415298398fe0975b62a674af21.jpeg']"
Gamble,7570,Robert Rauschenberg,103 x 70 cm,1968 • Estados Unidos,"['https://www.singulart.com/images/artworks/v2/cropped/36712/main/zoom/2206277_233415ec2e59840f91d989436c80a235.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/36712/alts/zoom/alt_2206277_9830fc6336e250bd89bebfcbae8e0d1e.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/36712/alts/zoom/alt_2206277_6c36ec44c6fd1aa99d66fdaba15a8a86.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/36712/main/zoom/2206277_233415ec2e59840f91d989436c80a235.jpeg']"
Alive,52430,Achezegag,50(L)x185(A)x80(P)cm,2009 • Francia,"['https://www.singulart.com/images/artworks/v2/cutout/25003/main/zoom/1055843_bf5ddb4b54279367288480c1405bbb13.png', 'https://www.singulart.com/images/artworks/v2/cropped/25003/alts/zoom/alt_1055843_fa3d61bf62f8e5b0b0504e097490af28.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/25003/alts/zoom/alt_1055843_f157326866530af3dde0cc7cd209da48.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/25003/alts/zoom/alt_1055843_a83694415b71824f1160acdfa1faf66c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/25003/alts/zoom/alt_1055843_2184efd9b0b05c9990d19ec40120a28b.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/25003/alts/zoom/alt_1055843_7d0a90ba2eedb98457fb2144c97960d0.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/25003/alts/zoom/alt_1055843_24e776749a7c14a3ff131f3306576bb3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/25003/alts/zoom/alt_1055843_b0ec5df4a775d5f4685db8a0a86481a5.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/25003/main/zoom/1055843_bf5ddb4b54279367288480c1405bbb13.png']"
El pueblo,20840,Eva Hidalgo,70 x 100 cm,2008 • España • Acrílico en Cartón,"['https://www.singulart.com/images/artworks/v2/cropped/20221/main/zoom/673299_63e6e52834360dca0a212cd5680735ee.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/20221/alts/zoom/alt_673299_4c6b679d037e755b568bed24849afb49.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/20221/main/zoom/673299_63e6e52834360dca0a212cd5680735ee.jpeg']"
N2,7900,Eka Peradze,103 x 72 cm,N.D • Georgia • Acrílico en Lienzo,"['https://www.singulart.com/images/artworks/pictures/cropped/3567/19393/zoom/serie_19393_122107aacb0f8a0ce990790a5606b22c.jpeg', 'https://www.singulart.com/images/artworks/pictures/cropped/3567/alts/zoom/alt_256303_bd2b158ba2edf9fb0566cbd862824fc6.jpeg', 'https://www.singulart.com/images/artworks/pictures/cropped/3567/alts/zoom/alt_256303_547f564978223f706806ee7ff945ccce.jpeg', 'https://www.singulart.com/images/artworks/pictures/cropped/3567/alts/zoom/alt_256303_f48e5c463c396b3a87e31bf588c8a99f.jpeg', 'https://www.singulart.com/images/artworks/pictures/cropped/3567/alts/zoom/alt_256303_c7914f9a87e7d49728b948e0d9514302.jpeg', 'https://www.singulart.com/images/artworks/pictures/cropped/3567/19393/zoom/serie_19393_122107aacb0f8a0ce990790a5606b22c.jpeg']"
